cell,lat,lon,mean_ALD_hist,mean_ALD_future,ALD_diff,ALD_pct_diff
63.94649_-144.83221,63.94649,-144.83221,1.2253833551991298,1.7999202740934506,0.5745369188943208,46.88630023058835
63.94716_-146.90588,63.94716,-146.90588,0.8200463572326757,1.0419925745935614,0.2219462173608857,27.065081797310132
63.94809_-145.82860,63.94809,-145.8286,1.237256271964569,1.8127869066277587,0.5755306346631897,46.51668758561532
63.94824_-145.33040,63.94824,-145.3304,1.2640879520429804,1.861096122183163,0.5970081701401826,47.228372770685475
63.95027_-148.22658,63.95027,-148.22658,0.5860856947367061,0.8087216174871964,0.22263592275049027,37.98692320079703
63.95037_-147.56619,63.95037,-147.56619,0.4748803619948532,0.641761409452785,0.16688104745793186,35.14170321908164
63.95143_-146.40775,63.95143,-146.40775,0.8373857963004967,1.0688968717151446,0.23151107541464788,27.646883483986144
63.95220_-146.98697,63.9522,-146.98697,0.8140268445788748,1.0345379968188255,0.22051115223995077,27.08892878760394
63.95281_-144.91286,63.95281,-144.91286,1.1890146978809928,1.7150666673816302,0.5260519695006374,44.242680131552866
63.78287_-145.55916,63.78287,-145.55916,0.8040544303751156,1.1250023815767363,0.3209479512016207,39.916197097737374
63.78397_-147.20485,63.78397,-147.20485,0.31395499037566366,0.45635453371016454,0.1423995433345009,45.35667458705222
63.78413_-148.51698,63.78413,-148.51698,0.5482987105450772,0.7518841084143898,0.20358539786931262,37.130380566994845
63.78420_-146.62946,63.7842,-146.62946,0.47432172774736747,0.6436707266419253,0.1693489988945578,35.70340319403546
63.78571_-147.86092,63.78571,-147.86092,0.41073529482518256,0.5747470544836147,0.16401175965843218,39.93125541554421
63.78576_-144.64938,63.78576,-144.64938,1.2509899486292388,1.8329087308543515,0.5819187822251126,46.51666329235858
63.78742_-146.13449,63.78742,-146.13449,0.8353305925450262,1.0845486737711094,0.24921808122608324,29.834664676506485
63.78816_-148.59784,63.78816,-148.59784,0.5543700930853369,0.7720746639558983,0.2177045708705614,39.27061967916243
63.78819_-145.14439,63.78819,-145.14439,1.2593417701043865,1.7350404322988737,0.4756986621944872,37.77359518179538
63.78875_-145.63945,63.78875,-145.63945,0.9913865738075198,1.3968101776298325,0.4054236038223127,40.89460302707576
63.70787_-147.14648,63.70787,-147.14648,0.47689788530247507,0.6817915083151278,0.20489362301265274,42.96383551432564
63.70856_-144.59872,63.70856,-144.59872,1.7987974871603682,2.5793859026215897,0.7805884154612215,43.395013670687305
63.70864_-148.45468,63.70864,-148.45468,0.6757112740433857,0.8917719152386355,0.21606064119524981,31.97529026004931
63.70991_-147.80057,63.70991,-147.80057,0.4592947714043465,0.6517094070965823,0.19241463569223582,41.89349578352612
63.71083_-146.07933,63.71083,-146.07933,0.8891694912021049,1.207237167777369,0.31806767657526414,35.771321409741056
63.71121_-145.09222,63.71121,-145.09222,0.9824784883503032,1.3341200126558226,0.3516415243055194,35.79126957740997
63.71198_-145.58578,63.71198,-145.58578,0.8063152112053531,1.1188793701798723,0.31256415897451917,38.764512269000846
63.71271_-148.53531,63.71271,-148.53531,0.5975807862984479,0.777440098711788,0.17985931241334008,30.097907519321332
63.71276_-147.22687,63.71276,-147.22687,0.2796689708050244,0.4630414956042328,0.1833725247992084,65.56770465860849
63.71307_-146.65308,63.71307,-146.65308,0.6452862682441378,0.8468646158516665,0.20157834760752869,31.2385924709099
63.39247_-147.32440,63.39247,-147.3244,0.49017283895267894,0.6639226598476071,0.1737498208949282,35.44664393607944
63.39275_-145.21631,63.39275,-145.21631,0.0,0.17523464400673672,0.17523464400673672,inf
63.39305_-145.70375,63.39305,-145.70375,0.6840948672472603,0.9508820641460293,0.26678719689876895,38.998567256073414
63.39323_-146.75777,63.39323,-146.75777,0.07093705857135905,0.3676417165084863,0.29670465793712725,418.2646756330579
63.39363_-147.97046,63.39363,-147.97046,0.4929511786762845,0.682302008266893,0.1893508295906085,38.411680057053495
63.39548_-148.69614,63.39548,-148.69614,0.5994223103824241,0.7929482546786243,0.19352594429620018,32.285408958624345
63.39697_-144.80779,63.39697,-144.80779,0.16941060799631133,0.37953520572748434,0.210124597731173,124.03272747580726
63.39697_-146.27036,63.39697,-146.27036,0.0,0.11609477215442833,0.11609477215442833,inf
63.39725_-147.40384,63.39725,-147.40384,0.46157198521179776,0.6444323325111335,0.18286034729933576,39.61686435874745
63.39799_-148.05002,63.39799,-148.05002,0.4581709710247127,0.6526917722167044,0.19452080119199167,42.455941884956225
63.69389_-145.83902,63.69389,-145.83902,1.0352521793508955,1.556830577878201,0.5215783985273055,50.381772570074254
63.69412_-145.34579,63.69412,-145.34579,0.47530065472479566,0.6156510366313992,0.14035038190660354,29.528758378813503
63.69612_-148.21300,63.69612,-148.213,0.4824876914741248,0.6693474187801023,0.1868597273059775,38.72839258035219
63.69617_-147.55922,63.69617,-147.55922,0.13324695899067385,0.3806761419023713,0.24742918291169747,185.6921799836463
63.69719_-146.41237,63.69719,-146.41237,0.6774711989953576,0.8869822999855845,0.20951110099022696,30.925462410936035
63.69796_-146.98581,63.69796,-146.98581,0.3428597487282832,0.5339639482294027,0.19110419950111956,55.73830121790409
63.69874_-144.93243,63.69874,-144.93243,0.9581905973581135,1.4130179248408767,0.4548273274827632,47.46731273890557
63.69958_-145.91910,63.69958,-145.9191,1.4441248097241461,2.1150169141155164,0.6708921043913703,46.45665664587001
63.70012_-145.42575,63.70012,-145.42575,0.504481644616894,0.6687545528644864,0.16427290824759233,32.56271263790817
63.70035_-148.29355,63.70035,-148.29355,0.615817738456972,0.8345060724987042,0.21868833404173227,35.511860147076995
63.29870_-145.41437,63.2987,-145.41437,0.0,0.2004964435527635,0.2004964435527635,inf
63.29967_-148.23752,63.29967,-148.23752,0.5327569512573609,0.6954512295951136,0.16269427833775274,30.538180300374794
63.29990_-147.59378,63.2999,-147.59378,0.5593630694842868,0.7410144545000243,0.18165138501573752,32.47468324700337
63.30063_-144.52170,63.30063,-144.5217,0.34000929182635564,0.5069488512946638,0.16693955946830819,49.0985286230251
63.30130_-146.46457,63.3013,-146.46457,0.4109986338826095,0.6029575204166759,0.19195888653406645,46.70548043449075
63.30185_-147.02919,63.30185,-147.02919,0.4470453800448893,0.6330859444359589,0.18604056439106958,41.6155881920508
63.30358_-145.00737,63.30358,-145.00737,0.0,0.17736370312055044,0.17736370312055044,inf
63.30387_-148.31680,63.30387,-148.3168,0.4909957535042034,0.6436606841871182,0.1526649306829148,31.092922819261787
63.30390_-145.97888,63.3039,-145.97888,0.37352068768296487,0.537312907094232,0.1637922194112671,43.85090968516578
63.30450_-147.67297,63.3045,-147.67297,0.5793039961771577,0.7816233739683759,0.20231937779121822,34.92456104676114
