lat,lon,mean_ALD_hist,mean_ALD_future_medium,mean_ALD_future_high
64.00616,-146.13969,0.937776208,1.261151707,1.461151707
64.00659,-148.62451,0.844872113,1.260513846,1.460513846
64.00696,-145.14096,1.298981375,1.934152364,2.134152364
64.0075,-145.64032,1.245312396,1.868513867,2.068513867
63.94602,-146.32677,0.864072953,1.112306149,1.312306149
63.94649,-144.83221,1.225383355,1.799920274,1.999920274
63.94716,-146.90588,0.820046357,1.041992575,1.241992575
63.94809,-145.8286,1.237256272,1.812786907,2.012786907
63.94824,-145.3304,1.264087952,1.861096122,2.061096122
63.95027,-148.22658,0.586085695,0.808721617,1.008721617
63.95037,-147.56619,0.474880362,0.641761409,0.841761409
63.95143,-146.40775,0.837385796,1.068896872,1.268896872
63.9522,-146.98697,0.814026845,1.034537997,1.234537997
63.95281,-144.91286,1.189014698,1.715066667,1.915066667
63.78287,-145.55916,0.80405443,1.125002382,1.325002382
63.78397,-147.20485,0.31395499,0.456354534,0.656354534
63.78413,-148.51698,0.548298711,0.751884108,0.951884108
63.7842,-146.62946,0.474321728,0.643670727,0.843670727
63.78571,-147.86092,0.410735295,0.574747054,0.774747054
63.78576,-144.64938,1.250989949,1.832908731,2.032908731
63.78742,-146.13449,0.835330593,1.084548674,1.284548674
63.78816,-148.59784,0.554370093,0.772074664,0.972074664
63.78819,-145.14439,1.25934177,1.735040432,1.935040432
63.78875,-145.63945,0.991386574,1.396810178,1.596810178
63.70787,-147.14648,0.476897885,0.681791508,0.881791508
63.70856,-144.59872,1.798797487,2.579385903,2.779385903
63.70864,-148.45468,0.675711274,0.891771915,1.091771915
63.70991,-147.80057,0.459294771,0.651709407,0.851709407
63.71083,-146.07933,0.889169491,1.207237168,1.407237168
63.71121,-145.09222,0.982478488,1.334120013,1.534120013
63.71198,-145.58578,0.806315211,1.11887937,1.31887937
63.71271,-148.53531,0.597580786,0.777440099,0.977440099
63.71276,-147.22687,0.279668971,0.463041496,0.663041496
63.71307,-146.65308,0.645286268,0.846864616,1.046864616
63.39247,-147.3244,0.490172839,0.66392266,0.86392266
63.39275,-145.21631,0,0.175234644,0.375234644
63.39305,-145.70375,0.684094867,0.950882064,1.150882064
63.39323,-146.75777,0.070937059,0.367641717,0.567641717
63.39363,-147.97046,0.492951179,0.682302008,0.882302008
63.39548,-148.69614,0.59942231,0.792948255,0.992948255
63.39697,-144.80779,0.169410608,0.379535206,0.579535206
63.39697,-146.27036,0,0.116094772,0.316094772
63.39725,-147.40384,0.461571985,0.644432333,0.844432333
63.39799,-148.05002,0.458170971,0.652691772,0.852691772
63.69389,-145.83902,1.035252179,1.556830578,1.756830578
63.69412,-145.34579,0.475300655,0.615651037,0.815651037
63.69612,-148.213,0.482487691,0.669347419,0.869347419
63.69617,-147.55922,0.133246959,0.380676142,0.580676142
63.69719,-146.41237,0.677471199,0.8869823,1.0869823
63.69796,-146.98581,0.342859749,0.533963948,0.733963948
63.69874,-144.93243,0.958190597,1.413017925,1.613017925
63.69958,-145.9191,1.44412481,2.115016914,2.315016914
