lat,lon,mean_ALD_hist
64.06255,-148.3831,1.07
64.78034,-148.48787,1.30
65.11652,-144.80064,0.83
64.47492,-145.64714,0.80
64.77453,-146.93539,0.59
65.36029,-145.38924,0.00
64.95229,-146.95871,0.00
63.04289,-145.27715,0.48
65.46613,-147.17455,0.46
64.01499,-145.84431,0.28
63.47448,-145.08144,0.56
65.41985,-148.03647,0.45
65.53012,-145.15268,0.26
63.08666,-145.04156,0.07
63.1492,-148.60909,0.38
64.14936,-146.59575,0.38
64.52411,-146.68754,0.39
65.37305,-147.4485,0.43
63.96626,-145.68345,0.52
64.30797,-147.77341,0.33
64.88304,-145.75484,0.48
63.13594,-146.42511,0.33
63.57403,-146.29624,0.46
65.10362,-146.58058,0.37
64.53564,-147.32389,0.34
65.37524,-144.92947,0.62
65.38838,-145.35764,0.53
63.76023,-144.61814,0.44
64.34771,-145.04714,0.25
63.36784,-147.3238,0.00
63.64768,-145.61418,0.48
63.83688,-146.94555,0.04
64.78755,-146.8108,0.49
63.71097,-146.20955,0.58
64.16221,-145.98076,0.36
