latitude,longitude,mean_height_m,max_LAI,dominant_LULC
63.03726,-148.63185,4.69,1.02,shrub
63.62396,-145.51275,2.45,1.34,shrub
64.11748,-148.22745,2.91,1.98,evergreen
64.67626,-145.88619,9.06,2.75,evergreen
64.97856,-148.25845,5.77,2.78,evergreen
63.19448,-146.80367,0.23,0.87,open
62.96673,-148.69152,0.45,1.59,shrub
64.09769,-146.52191,2.98,2.6,deciduous
64.51505,-147.77165,3.9,1.87,shrub
63.23178,-146.00838,2.84,0.92,open
63.20843,-146.38771,3.29,1.66,shrub
63.27738,-145.43196,,0.0,open
63.03868,-148.30994,0.6,1.77,shrub
64.30749,-145.08494,3.65,1.84,shrub
65.11967,-145.06753,3.12,1.88,shrub
65.2113,-145.22243,3.29,1.84,shrub
63.7541,-147.13077,0.28,0.11,open
62.94131,-144.55861,3.52,2.24,shrub
64.58818,-146.25789,13.23,4.81,deciduous
63.01306,-148.71253,0.16,0.42,open
63.41434,-144.88711,0.2,0.36,open
65.15654,-148.51031,3.19,2.32,evergreen
63.30383,-147.83467,2.57,1.72,shrub
63.66315,-145.40527,2.38,1.93,shrub
64.77736,-148.31354,6.64,3.26,evergreen
64.98687,-147.05854,14.24,5.16,deciduous
65.54081,-145.74989,0.22,2.01,shrub
64.76582,-147.90889,4.95,2.29,wetland
63.8193,-148.75453,2.9,1.1,shrub
64.12853,-147.34319,4.13,2.44,wetland
63.79461,-146.46602,3.21,1.68,evergreen
63.98855,-146.8818,3.96,1.24,open
64.6292,-148.54625,4.5,2.68,evergreen
64.20926,-147.20095,4.01,1.93,evergreen
63.07288,-148.33612,0.19,1.11,open
64.22496,-147.62675,4.1,3.28,wetland
63.11197,-147.88384,0.32,1.68,shrub
62.91705,-148.36578,2.21,2.24,shrub
64.79216,-144.89017,4.06,2.24,shrub
63.26108,-144.88789,,0.0,open
63.19776,-147.33698,3.07,1.28,shrub
62.86206,-148.79396,0.73,2.43,shrub
63.66768,-147.80095,0.39,0.0,open
62.85807,-146.99977,3.23,1.69,evergreen
64.11602,-144.61366,4.06,1.69,evergreen
65.09567,-145.43955,3.62,1.91,shrub
63.54375,-147.7616,,0.0,open
63.14214,-144.79868,0.22,0.38,open
64.66447,-144.87698,3.66,2.48,evergreen
64.92788,-146.51372,3.92,3.64,evergreen
62.99255,-144.55791,3.33,1.85,shrub
64.07072,-148.75251,5.3,1.49,shrub
64.49343,-145.34377,3.49,2.02,evergreen
63.85402,-146.06136,5.13,2.62,evergreen
65.27212,-146.12922,3.49,1.99,shrub
63.41085,-145.54378,,0.0,open
64.89012,-147.49292,5.41,3.26,deciduous
65.36999,-145.66877,3.26,1.89,evergreen
65.16935,-144.5892,4.26,1.77,evergreen
64.40254,-147.24674,14.87,3.93,deciduous
62.77134,-145.88516,4.36,2.22,evergreen
64.27577,-148.72865,3.71,2.11,shrub
63.2082,-145.90783,0.93,2.46,shrub
63.24097,-145.97526,3.65,1.87,shrub
63.54713,-146.28191,,0.0,open
62.74829,-148.26231,2.25,2.09,shrub
64.345,-148.45016,3.48,2.41,wetland
64.57904,-148.6868,5.41,2.26,evergreen
63.55929,-146.83066,,0.0,open
64.984,-147.90186,4.78,3.27,evergreen
65.04602,-145.75096,3.74,2.29,shrub
63.30991,-148.70448,2.87,1.81,shrub
64.75138,-145.63764,4.46,3.08,evergreen
63.13476,-145.24105,3.01,2.04,shrub
62.95747,-146.06787,3.22,1.68,shrub
64.90903,-148.24871,7.85,4.18,deciduous
64.0477,-144.79858,3.13,2.41,wetland
63.04063,-148.19723,0.55,1.78,shrub
64.82888,-147.64209,,1.03,open
64.04415,-144.53959,6.87,3.87,deciduous
65.45486,-148.43688,8.31,3.24,evergreen
63.1941,-145.66102,5.15,2.04,shrub
63.47053,-147.40048,,0.0,open
63.06252,-144.942,0.62,2.03,shrub
63.73318,-146.98425,3.51,1.99,shrub
63.41743,-145.14176,,0.0,open
63.321,-144.74052,0.55,0.0,open
63.90968,-148.22661,0.36,0.5,open
64.86893,-145.49652,3.49,2.01,evergreen
63.2984,-144.71067,0.15,0.0,open
62.96389,-148.52557,4.62,1.9,shrub
62.82128,-145.29909,3.16,2.06,evergreen
65.42915,-148.64362,6.05,3.34,deciduous
64.74899,-145.37347,3.37,2.39,evergreen
65.22122,-146.24745,3.49,1.82,shrub
65.22922,-146.1385,3.17,1.88,shrub
64.27043,-146.11035,5.15,2.86,evergreen
64.10741,-146.18426,3.45,2.35,shrub
64.62207,-147.30853,3.47,2.04,shrub
64.11328,-146.80258,6.46,1.74,open
63.38211,-146.83575,2.57,1.72,shrub
64.97013,-147.61384,8.07,4.36,deciduous
63.51462,-145.91464,4.43,2.41,open
65.31777,-145.83389,2.83,1.46,evergreen
63.03546,-146.74334,3.47,1.53,shrub
63.87151,-145.15949,3.92,1.96,evergreen
62.84987,-148.79938,0.49,2.08,shrub
62.79122,-145.14731,3.38,1.95,evergreen
64.356,-147.74948,2.78,2.28,wetland
64.81063,-147.18105,6.41,2.97,evergreen
65.43581,-147.25071,2.35,1.86,shrub
62.98726,-145.06816,2.54,2.28,shrub
65.2166,-148.62899,12.5,3.4,deciduous
63.7173,-147.9905,3.17,0.96,open
64.51929,-148.08985,4.09,1.83,shrub
64.95844,-148.81297,4.82,1.98,wetland
62.85625,-147.29359,3.66,2.47,evergreen
65.58326,-148.34251,2.91,2.29,evergreen
62.783,-144.57725,2.81,1.98,evergreen
64.31751,-145.47297,5.14,3.06,evergreen
62.72055,-147.40092,2.8,1.94,shrub
63.05949,-144.91546,3.03,1.92,shrub
63.44987,-145.9635,0.2,0.0,open
63.33629,-147.97422,2.99,1.74,evergreen
64.47193,-148.25843,4.18,2.73,evergreen
65.04778,-146.71491,4.0,2.34,evergreen
63.31223,-145.22846,,0.0,open
64.69569,-147.82694,3.29,2.29,wetland
65.2536,-145.57162,3.68,2.24,evergreen
63.6744,-147.41325,,0.0,open
64.22251,-145.06095,6.26,3.42,deciduous
65.48672,-144.55988,3.04,2.11,wetland
64.64309,-147.86797,3.33,1.89,wetland
63.31675,-145.21177,,0.0,open
65.33095,-145.22645,2.75,1.7,shrub
64.38247,-148.17137,3.57,2.19,wetland
63.1164,-148.26004,0.19,1.28,shrub
65.07519,-146.41799,3.74,1.86,shrub
64.53127,-146.88825,3.32,2.53,wetland
63.2909,-145.90631,5.19,1.84,shrub
65.5884,-147.90488,3.26,2.05,shrub
63.81604,-147.90002,2.97,1.09,shrub
65.34277,-147.25551,2.52,2.16,shrub
65.13973,-147.02146,3.1,2.7,shrub
64.30887,-147.91774,5.54,3.15,wetland
64.96304,-147.07119,6.21,4.09,deciduous
65.17687,-148.17434,7.89,2.33,evergreen
